date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:54:48	65311/65311	---M-Z	200	added ('OK')	text/html	etag:%22ff1f-618a341e7591c-gzip%22	https://stfroebelschool.com/	E:/project/project_1/school/stfroebelschool.com/index.html	(from )
10:54:48	282/282	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Jun%202024%2005:24:47%20GMT	https://stfroebelschool.com/robots.txt		(from )
10:54:48	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2013%20Jun%202024%2005:24:48%20GMT	https://www.googletagmanager.com/gtm.js?id=	E:/project/project_1/school/www.googletagmanager.com/gtm.15445.delayed	(from https://stfroebelschool.com/)
10:54:48	79064/79064	---M--	200	added ('OK')	text/html	etag:%22134d8-60bc2d9c37d51%22	https://stfroebelschool.com/img/bg-img/banner1-n.webp	E:/project/project_1/school/stfroebelschool.com/img/bg-img/banner1-n.html	(from https://stfroebelschool.com/)
10:54:49	58564/58564	---M-Z	200	added ('OK')	text/css	etag:%22e4c4-60bc2b06c9ecc-gzip%22	https://stfroebelschool.com/style.css	E:/project/project_1/school/stfroebelschool.com/style.css	(from https://stfroebelschool.com/)
10:54:49	136540/136540	---M-Z	200	added ('OK')	text/css	etag:%222155c-60bc2d13d9bb4-gzip%22	https://stfroebelschool.com/css/bootstrap.min.css	E:/project/project_1/school/stfroebelschool.com/css/bootstrap.min.css	(from https://stfroebelschool.com/)
10:54:49	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	E:/project/project_1/school/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://stfroebelschool.com/)
10:54:49	15406/15406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223c2e-60bc2cefc182e%22	https://stfroebelschool.com/img/favicon.ico	E:/project/project_1/school/stfroebelschool.com/img/favicon.ico	(from https://stfroebelschool.com/)
10:54:50	5561/5561	---M--	200	added ('OK')	image/png	etag:%2215b9-60bc2ce301d82%22	https://stfroebelschool.com/img/apple-touch-icon.png	E:/project/project_1/school/stfroebelschool.com/img/apple-touch-icon.png	(from https://stfroebelschool.com/)
10:54:51	345/345	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jun%202024%2005:24:50%20GMT	http://stfroebelschool.com/sfs/img/syllabus/new.GIF	E:/project/project_1/school/stfroebelschool.com/sfs/img/syllabus/new.8.delayed	(from https://stfroebelschool.com/)
